user_id	date	forecast_sessions	lower_80	upper_80
user_000833	2009-05-24	3	0	6
user_000833	2009-05-25	4	0	7
user_000833	2009-05-26	3	0	6
user_000833	2009-05-27	8	4	11
user_000833	2009-05-28	4	0	7
user_000833	2009-05-29	6	2	9
user_000833	2009-05-30	3	0	6
user_000833	2009-05-31	3	0	6
user_000833	2009-06-01	4	0	7
user_000833	2009-06-02	3	0	6
user_000833	2009-06-03	8	4	11
user_000833	2009-06-04	4	0	7
user_000833	2009-06-05	6	2	9
user_000833	2009-06-06	3	0	6
user_000833	2009-06-07	3	0	6
user_000833	2009-06-08	4	0	7
user_000833	2009-06-09	3	0	6
user_000833	2009-06-10	8	4	11
user_000833	2009-06-11	4	0	7
user_000833	2009-06-12	6	2	9
user_000833	2009-06-13	3	0	6
user_000833	2009-06-14	3	0	6
user_000833	2009-06-15	4	0	7
user_000833	2009-06-16	3	0	6
user_000833	2009-06-17	8	4	11
user_000833	2009-06-18	4	0	7
user_000833	2009-06-19	6	2	9
user_000833	2009-06-20	3	0	6
user_000833	2009-06-21	3	0	6
user_000833	2009-06-22	4	0	7
user_000833	2009-06-23	3	0	6
user_000833	2009-06-24	8	4	11
user_000833	2009-06-25	4	0	7
user_000833	2009-06-26	6	2	9
user_000833	2009-06-27	3	0	6
user_000833	2009-06-28	3	0	6
user_000833	2009-06-29	4	0	7
user_000833	2009-06-30	3	0	6
user_000833	2009-07-01	8	4	11
user_000833	2009-07-02	4	0	7
user_000833	2009-07-03	6	2	9
user_000833	2009-07-04	3	0	6
user_000833	2009-07-05	3	0	6
user_000833	2009-07-06	4	0	7
user_000833	2009-07-07	3	0	6
user_000833	2009-07-08	8	4	11
user_000833	2009-07-09	4	0	7
user_000833	2009-07-10	6	2	9
user_000833	2009-07-11	3	0	6
user_000833	2009-07-12	3	0	6
user_000833	2009-07-13	4	0	7
user_000833	2009-07-14	3	0	6
user_000833	2009-07-15	8	4	11
user_000833	2009-07-16	4	0	7
user_000833	2009-07-17	6	2	9
user_000833	2009-07-18	3	0	6
user_000833	2009-07-19	3	0	6
user_000833	2009-07-20	4	0	7
user_000833	2009-07-21	3	0	6
user_000833	2009-07-22	8	4	11
user_000833	2009-07-23	4	0	7
user_000833	2009-07-24	6	2	9
user_000833	2009-07-25	3	0	6
user_000833	2009-07-26	3	0	6
user_000833	2009-07-27	4	0	7
user_000833	2009-07-28	3	0	6
user_000833	2009-07-29	8	4	11
user_000833	2009-07-30	4	0	7
user_000833	2009-07-31	6	2	9
user_000833	2009-08-01	3	0	6
user_000833	2009-08-02	3	0	6
user_000833	2009-08-03	4	0	7
user_000833	2009-08-04	3	0	6
user_000833	2009-08-05	8	4	11
user_000833	2009-08-06	4	0	7
user_000833	2009-08-07	6	2	9
user_000833	2009-08-08	3	0	6
user_000833	2009-08-09	3	0	6
user_000833	2009-08-10	4	0	7
user_000833	2009-08-11	3	0	6
user_000833	2009-08-12	8	4	11
user_000833	2009-08-13	4	0	7
user_000833	2009-08-14	6	2	9
user_000833	2009-08-15	3	0	6
user_000833	2009-08-16	3	0	6
user_000833	2009-08-17	4	0	7
user_000833	2009-08-18	3	0	6
user_000833	2009-08-19	8	4	11
user_000833	2009-08-20	4	0	7
user_000833	2009-08-21	6	2	9
